time,P,G(i),H_sun,T2m,WS10m,Int
20230114:2111,0,0,0,8.36,6.69,0
20230114:2211,0,0,0,7.8,6.48,0
20230114:2311,0,0,0,7.34,6.41,0
20230115:0011,0,0,0,7.1,6.55,0
20230115:0111,0,0,0,6.81,6.62,0
20230115:0211,0,0,0,6.66,6.76,0
20230115:0311,0,0,0,6.47,6.9,0
20230115:0411,0,0,0,6.37,7.17,0
20230115:0511,0,0,0,6.16,7.03,0
20230115:0611,0,0,0,5.88,7.45,0
20230115:0711,0,0,0,5.9,7.86,0
20230115:0811,1.58,9.19,2.66,5.48,8.28,0
20230115:0911,2.04,10.11,8.91,5.64,8.76,0
20230115:1011,39.47,60.64,13.5,6.24,9.24,0
20230115:1111,23.81,41.35,16.05,5.9,10.14,0
20230115:1211,318.25,365.31,16.33,6.65,8.55,0
20230115:1311,54.12,78,14.32,6.9,8.62,0
20230115:1411,7.51,19.3,10.21,6.76,8.97,0
20230115:1511,0,4.59,4.33,6.51,7.66,0
20230115:1611,0,0,0,6.02,6.76,0
20230115:1711,0,0,0,5.78,5.93,0
20230115:1811,0,0,0,5.32,5.66,0
20230115:1911,0,0,0,5.13,5.66,0
20230115:2011,0,0,0,4.82,5.17,0
20230115:2111,0,0,0,4.58,4.76,0
20230115:2211,0,0,0,4.52,4.48,0
20230115:2311,0,0,0,4.53,4.28,0
20230116:0011,0,0,0,4.35,4.21,0
20230116:0111,0,0,0,4.03,4.21,0
20230116:0211,0,0,0,3.75,4.21,0
20230116:0311,0,0,0,3.46,3.93,0
20230116:0411,0,0,0,3.28,3.86,0
20230116:0511,0,0,0,3.26,3.72,0
20230116:0611,0,0,0,3.32,4.07,0
20230116:0711,0,0,0,3.69,4.76,0
20230116:0811,0,4.59,2.79,3.83,5.17,0
20230116:0911,11.46,24.81,9.05,3.76,6.21,0
20230116:1011,7.65,19.3,13.66,3.52,6,0
20230116:1111,40.72,61.56,16.23,3.56,5.1,0
20230116:1211,28.38,46.86,16.52,4.24,3.59,0
20230116:1311,6.38,17.46,14.52,5.13,3.66,0
20230116:1411,19.53,35.83,10.41,5.34,3.38,0
20230116:1511,67.18,93.15,4.53,5.21,2.07,0
20230116:1611,0,0,0,4.88,1.24,0
20230116:1711,0,0,0,4.48,2.14,0
20230116:1811,0,0,0,3.92,4.21,0
20230116:1911,0,0,0,3.56,4.83,0
20230116:2011,0,0,0,3.4,4.62,0
20230116:2111,0,0,0,3.32,5.03,0
20230116:2211,0,0,0,3.18,5.59,0
20230116:2311,0,0,0,3.05,6.41,0
20230117:0011,0,0,0,2.96,6.21,0
20230117:0111,0,0,0,2.73,5.24,0
20230117:0211,0,0,0,2.32,4.69,0
20230117:0311,0,0,0,2.07,4.28,0
20230117:0411,0,0,0,1.87,3.79,0
20230117:0511,0,0,0,1.6,3.38,0
20230117:0611,0,0,0,1.27,3.24,0
20230117:0711,0,0,0,1.03,2.9,0
20230117:0811,99.5,129.64,2.92,0.54,2.83,0
20230117:0911,386.22,439.87,9.2,1.03,2.76,0
20230117:1011,546.53,624.92,13.82,2.14,2.76,0
20230117:1111,611.5,703.91,16.41,3.22,3.1,0
20230117:1211,639.53,737.58,16.72,3.98,3.59,0
20230117:1311,548.14,628.54,14.73,4.18,3.59,0
20230117:1411,325.2,374.57,10.62,4.07,3.31,0
20230117:1511,175.39,213.27,4.74,3.52,2.76,0
20230117:1611,0,0,0,2.28,2.69,0
20230117:1711,0,0,0,1.24,2.69,0
20230117:1811,0,0,0,0.63,2.76,0
20230117:1911,0,0,0,0.43,3.03,0
20230117:2011,0,0,0,0.23,3.03,0
20230117:2111,0,0,0,-0.24,2.9,0
20230117:2211,0,0,0,-0.49,2.9,0
20230117:2311,0,0,0,-0.68,2.9,0
20230118:0011,0,0,0,-0.7,2.83,0
20230118:0111,0,0,0,-0.88,2.69,0
20230118:0211,0,0,0,-1.17,2.62,0
20230118:0311,0,0,0,-1.47,2.76,0
20230118:0411,0,0,0,-1.27,2.97,0
20230118:0511,0,0,0,-0.78,3.03,0
20230118:0611,0,0,0,-0.65,3.17,0
20230118:0711,0,0,0,-0.84,3.72,0
20230118:0811,111.12,141.74,3.05,-0.69,4,0
20230118:0911,391.53,441.44,9.36,0.36,4.14,0
20230118:1011,538.35,607.84,14,1.78,4.21,0
20230118:1111,596.18,676.04,16.6,3.02,4.83,0
20230118:1211,649.84,739.7,16.93,3.73,5.31,0
20230118:1311,193.88,229.21,14.94,4.13,5.66,0
20230118:1411,153.64,185.77,10.83,4.08,6,0
20230118:1511,20.37,36.69,4.95,3.69,5.93,0
20230118:1611,0,0,0,3.24,5.79,0
20230118:1711,0,0,0,2.97,5.72,0
20230118:1811,0,0,0,2.97,5.72,0
20230118:1911,0,0,0,3.23,6.14,0
20230118:2011,0,0,0,3.31,6.14,0
20230118:2111,0,0,0,3.14,5.93,0
20230118:2211,0,0,0,2.96,5.45,0
20230118:2311,0,0,0,2.75,5.31,0
20230119:0011,0,0,0,2.78,5.24,0
20230119:0111,0,0,0,2.64,4.9,0
20230119:0211,0,0,0,2.84,4.69,0
20230119:0311,0,0,0,2.98,4.62,0
20230119:0411,0,0,0,2.91,4.62,0
20230119:0511,0,0,0,2.86,4.48,0
20230119:0611,0,0,0,2.7,4.28,0
20230119:0711,0,0,0,3.09,4.62,0
20230119:0811,126.35,160.78,3.19,2.63,4.14,0
20230119:0911,133.17,163.72,9.52,2.98,3.59,0
20230119:1011,511.98,586.7,14.18,3.87,3.24,0
20230119:1111,577.54,665.67,16.8,4.67,3.45,0
20230119:1211,629.59,725,17.14,4.99,4.28,0
20230119:1311,156.66,190.37,15.16,5.02,4.41,0
20230119:1411,19.6,35.83,11.05,4.68,3.72,0
20230119:1511,14.56,29.11,5.17,4.12,3.24,0
20230119:1611,0,0,0,3.15,2.76,0
20230119:1711,0,0,0,2.15,2.34,0
20230119:1811,0,0,0,1.55,2.28,0
20230119:1911,0,0,0,0.89,2.62,0
20230119:2011,0,0,0,0.51,2.62,0
20230119:2111,0,0,0,0.04,2.48,0
20230119:2211,0,0,0,-0.2,2.41,0
20230119:2311,0,0,0,-0.38,2.48,0
20230120:0011,0,0,0,-0.89,2.69,0
20230120:0111,0,0,0,-1.12,2.83,0
20230120:0211,0,0,0,-1.14,3.03,0
20230120:0311,0,0,0,-1.03,3.1,0
20230120:0411,0,0,0,-0.94,3.31,0
20230120:0511,0,0,0,-0.96,3.45,0
20230120:0611,0,0,0,-0.73,3.59,0
20230120:0711,0,0,0,-0.57,3.52,0
20230120:0811,0,3.68,3.34,-0.45,3.79,0
20230120:0911,32.58,51.06,9.68,-0.14,3.66,0
20230120:1011,75.22,99.62,14.36,0.36,3.86,0
20230120:1111,109.07,136.96,17,1.18,3.86,0
20230120:1211,277.01,317.69,17.36,1.79,3.38,0
20230120:1311,284.59,326.6,15.38,2.24,3.17,0
20230120:1411,241.94,279.98,11.28,2.21,3.72,0
20230120:1511,79.24,105.03,5.39,1.78,4.21,0
20230120:1611,0,0,0,1.3,4.21,0
20230120:1711,0,0,0,1.18,4.41,0
20230120:1811,0,0,0,1.16,4.28,0
20230120:1911,0,0,0,1.51,3.66,0
20230120:2011,0,0,0,0.88,3.45,0
20230120:2111,0,0,0,0.28,3.31,0
20230120:2211,0,0,0,-0.16,3.24,0
20230120:2311,0,0,0,-0.6,3.17,0
20230121:0011,0,0,0,-0.82,3.1,0
20230121:0111,0,0,0,-1.02,2.9,0
20230121:0211,0,0,0,-1.28,2.62,0
20230121:0311,0,0,0,-1.6,2.34,0
20230121:0411,0,0,0,-1.95,2.07,0
20230121:0511,0,0,0,-2.17,1.86,0
20230121:0611,0,0,0,-2.11,1.72,0
20230121:0711,0,0,0,-2.65,1.52,0
20230121:0811,0.79,7.35,3.5,-2.67,1.45,0
20230121:0911,32.69,50.99,9.86,-1.57,1.17,0
20230121:1011,76.3,101.32,14.56,0.77,1.24,0
20230121:1111,74.63,100.15,17.21,2.16,1.52,0
20230121:1211,95,122.81,17.58,2.79,2.48,0
20230121:1311,103.83,132.23,15.61,2.89,2.76,0
20230121:1411,53.54,76.11,11.51,2.72,2.83,0
20230121:1511,10.88,23.89,5.62,2.36,2.48,0
20230121:1611,0,0,0,1.3,2.41,0
