time,P,G(i),H_sun,T2m,WS10m,Int
20230727:1211,211.18,268.61,56.51,18.69,4.97,0
20230727:1311,203.46,259.37,52.94,18.88,5.59,0
20230727:1411,161.45,209.82,46.51,19.22,6.83,0
20230727:1511,98.86,135.99,38.41,19.02,6.07,0
20230727:1611,102.83,140.66,29.5,18.98,6.28,0
20230727:1711,53.23,80.86,20.36,18.66,6.28,0
20230727:1811,2.38,11.2,11.39,18.52,5.93,0
20230727:1911,0,3.45,2.94,17.9,5.17,0
20230727:2011,0,0,0,17.83,4.9,0
20230727:2111,0,0,0,17.78,4.62,0
20230727:2211,0,0,0,17.66,4.55,0
20230727:2311,0,0,0,17.7,4.34,0
20230728:0011,0,0,0,17.58,4.07,0
20230728:0111,0,0,0,17.51,3.93,0
20230728:0211,0,0,0,17.48,3.79,0
20230728:0311,0,0,0,17.42,3.66,0
20230728:0411,0,0.86,1.52,17.37,3.66,0
20230728:0511,11.3,25.84,9.86,17.51,3.66,0
20230728:0611,63.75,93.89,18.78,17.94,4.21,0
20230728:0711,92.58,128.65,27.92,18.98,4.9,0
20230728:0811,113.01,153.44,36.88,19.59,4.28,0
20230728:0911,216.16,276.96,45.14,20.39,4,0
20230728:1011,451.09,565.66,51.89,21.34,3.93,0
20230728:1111,393.75,494.67,55.98,21.67,4.28,0
20230728:1211,505.54,636.8,56.29,22.19,4.28,0
20230728:1311,485.2,611.57,52.73,22.75,4.34,0
20230728:1411,410.42,516.13,46.31,22.49,4.21,0
20230728:1511,356.76,449.25,38.22,22.42,4.21,0
20230728:1611,263.35,338.36,29.33,21.75,4.07,0
20230728:1711,68.88,101.49,20.18,21.24,3.45,0
20230728:1811,18.83,37.04,11.21,20.84,2.62,0
20230728:1911,2.79,12.06,2.75,20.09,2.14,0
20230728:2011,0,0,0,19.21,2.14,0
20230728:2111,0,0,0,18.37,2.34,0
20230728:2211,0,0,0,17.68,2.48,0
20230728:2311,0,0,0,17.36,2.62,0
20230729:0011,0,0,0,17.15,2.9,0
20230729:0111,0,0,0,16.86,3.17,0
20230729:0211,0,0,0,16.43,3.24,0
20230729:0311,0,0,0,16,3.38,0
20230729:0411,0,0,0,15.73,3.66,0
20230729:0511,10.82,24.98,9.68,15.92,3.93,0
20230729:0611,75.38,107.99,18.6,16.56,3.86,0
20230729:0711,203.17,259.82,27.74,18,6,0
20230729:0811,158.48,206.03,36.7,18.85,6.41,0
20230729:0911,224.5,284.18,44.95,19.51,6.55,0
20230729:1011,405.01,500.6,51.68,20.26,6.28,0
20230729:1111,216.4,277.33,55.75,20.91,5.31,0
20230729:1211,384.19,476.53,56.06,20,5.59,0
20230729:1311,565.75,702.03,52.51,19.47,4.69,0
20230729:1411,306.92,384.75,46.11,20.2,4.34,0
20230729:1511,474.77,589.73,38.04,20.83,4.62,0
20230729:1611,303.75,386.61,29.14,20.73,4.62,0
20230729:1711,143.71,214.38,20,19.71,4.9,0
20230729:1811,33.91,56.85,11.02,19.3,4.28,0
20230729:1911,1.53,9.47,2.56,19.02,3.79,0
20230729:2011,0,0,0,17.98,3.72,0
20230729:2111,0,0,0,17.52,3.93,0
20230729:2211,0,0,0,16.92,3.93,0
20230729:2311,0,0,0,16.4,4,0
20230730:0011,0,0,0,16.05,4.14,0
20230730:0111,0,0,0,16.12,4.34,0
20230730:0211,0,0,0,16.16,4.41,0
20230730:0311,0,0,0,16,4.34,0
20230730:0411,0,0,0,15.79,4.34,0
20230730:0511,4.31,14.64,9.49,15.86,4.62,0
20230730:0611,41.11,65.24,18.42,16.37,4.76,0
20230730:0711,60.51,89.13,27.56,16.81,5.66,0
20230730:0811,132.13,173.88,36.52,17.13,6.14,0
20230730:0911,199.42,252.9,44.75,17.81,6.48,0
20230730:1011,632.21,775.01,51.47,18.81,6.62,0
20230730:1111,449.91,551.78,55.51,19,6.62,0
20230730:1211,639.29,786.76,55.82,19.36,6.83,0
20230730:1311,417.67,512.44,52.29,19.42,7.24,0
20230730:1411,400.14,489.97,45.9,19.17,7.24,0
20230730:1511,396.64,486.08,37.84,19.53,7.31,0
20230730:1611,158.51,206.98,28.96,19.52,6.55,0
20230730:1711,89.64,126.42,19.82,19.32,5.59,0
20230730:1811,23.55,43.07,10.83,18.44,5.52,0
20230730:1911,1.16,8.61,2.36,17.11,5.79,0
20230730:2011,0,0,0,16.52,4.69,0
20230730:2111,0,0,0,16.42,4.48,0
20230730:2211,0,0,0,16.55,4.76,0
20230730:2311,0,0,0,16.48,5.31,0
20230731:0011,0,0,0,16.28,6,0
20230731:0111,0,0,0,16.49,6.21,0
20230731:0211,0,0,0,16.1,7.31,0
20230731:0311,0,0,0,15.87,6.9,0
20230731:0411,0,0,0,15.85,6.62,0
20230731:0511,1.57,9.47,9.31,16.07,6.34,0
20230731:0611,34.59,56.97,18.24,16.23,6.48,0
20230731:0711,47.12,72.59,27.38,16.19,6,0
20230731:0811,119.56,158.96,36.33,16.75,6,0
20230731:0911,134.74,177.33,44.55,17.55,5.86,0
20230731:1011,77,109.34,51.25,17.92,6.55,0
20230731:1111,147.83,193.87,55.28,19.15,6.41,0
20230731:1211,113.83,154.36,55.58,20.24,7.38,0
20230731:1311,248.9,312.9,52.06,19.16,6.07,0
20230731:1411,91.54,127.72,45.69,19.99,6.97,0
20230731:1511,73.55,105.67,37.64,18.88,6.07,0
20230731:1611,21.58,40.43,28.76,18.51,5.52,0
20230731:1711,48.97,75.34,19.62,17.67,5.17,0
20230731:1811,4.76,15.5,10.63,17.5,6,0
20230731:1911,0,0.86,2.16,17.45,5.86,0
20230731:2011,0,0,0,17.22,5.24,0
20230731:2111,0,0,0,16.72,5.24,0
20230731:2211,0,0,0,16.31,4.9,0
20230731:2311,0,0,0,16.04,4.48,0
20230801:0011,0,0,0,15.93,4.28,0
20230801:0111,0,0,0,15.79,4,0
20230801:0211,0,0,0,15.47,4.21,0
20230801:0311,0,0,0,15.29,4.55,0
20230801:0411,0,0,0,15.14,4.34,0
20230801:0511,29.25,49.96,9.12,15.08,4.62,0
20230801:0611,108.46,173.7,18.06,15.56,4.48,0
20230801:0711,176.62,226.39,27.2,16.12,5.03,0
20230801:0811,252.15,313.59,36.14,17.18,5.66,0
20230801:0911,325.9,400.93,44.35,17.92,6,0
20230801:1011,483.57,588.21,51.02,17.52,6.34,0
20230801:1111,314.21,388.45,55.03,18.22,6.21,0
20230801:1211,199.71,254.03,55.33,18.27,6.28,0
20230801:1311,227.07,286.91,51.82,19.14,6.69,0
20230801:1411,139.38,183.77,45.47,19.18,7.31,0
20230801:1511,326.37,400.42,37.44,18.1,7.03,0
20230801:1611,138.01,181.25,28.57,17.56,6.07,0
20230801:1711,86.21,121.22,19.43,17.34,5.45,0
20230801:1811,29.59,50.82,10.43,17.24,4.48,0
20230801:1911,0,2.58,1.95,16.88,4.48,0
20230801:2011,0,0,0,16.52,3.66,0
20230801:2111,0,0,0,15.93,3.03,0
20230801:2211,0,0,0,15.59,3.31,0
20230801:2311,0,0,0,15.63,3.45,0
20230802:0011,0,0,0,15.4,3.31,0
20230802:0111,0,0,0,15.12,3.45,0
20230802:0211,0,0,0,15.14,3.59,0
20230802:0311,0,0,0,14.99,3.66,0
20230802:0411,0,0,0,14.75,3.66,0
20230802:0511,3.36,12.92,8.93,15,4,0
20230802:0611,51.71,78.1,17.87,15.65,4.62,0
20230802:0711,70.15,100.15,27.02,15.29,4.9,0
20230802:0811,101.31,136.91,35.95,15.46,5.38,0
20230802:0911,150.96,194.79,44.15,15.75,5.86,0
20230802:1011,213.48,268.53,50.8,16.63,5.38,0
20230802:1111,708.92,878.18,54.79,19.08,6,0
20230802:1211,787.46,982.26,55.08,20.44,6.76,0
20230802:1311,202.7,259.46,51.58,20.38,7.38,0
20230802:1411,656.27,800.72,45.25,19.86,8,0
20230802:1511,344.75,423.82,37.23,19.24,7.31,0
20230802:1611,95.26,131.5,28.36,18.71,6.48,0
20230802:1711,104.78,146.41,19.22,18.46,5.24,0
20230802:1811,12.47,27.56,10.22,17.62,5.03,0
20230802:1911,0,3.45,1.73,16.99,4.9,0
20230802:2011,0,0,0,16.68,5.52,0
20230802:2111,0,0,0,16.36,6.34,0
20230802:2211,0,0,0,16.16,6.48,0
20230802:2311,0,0,0,15.93,6,0
20230803:0011,0,0,0,15.67,5.38,0
20230803:0111,0,0,0,15.76,5.1,0
20230803:0211,0,0,0,16.01,5.38,0
20230803:0311,0,0,0,15.87,5.31,0
20230803:0411,0,0,0,16.07,5.17,0
20230803:0511,4.8,15.5,8.73,16.09,4.41,0
20230803:0611,103.09,149.62,17.69,16.3,3.93,0
20230803:0711,147.53,193.33,26.83,17.31,3.72,0
20230803:0811,301.59,374.57,35.76,18.16,4.21,0
20230803:0911,252.7,317.99,43.94,19.1,4.55,0
20230803:1011,379.73,469.82,50.56,19.37,5.1,0
20230803:1111,300,373.49,54.53,18.87,5.45,0
20230803:1211,189.62,243,54.82,18.88,5.79,0
20230803:1311,132.5,175.5,51.34,18.68,6.21,0
20230803:1411,80.27,113.02,45.02,17.42,6.55,0
20230803:1511,94.09,129.55,37.01,17.59,5.86,0
20230803:1611,98.23,134.26,28.15,17.22,5.72,0
20230803:1711,102.7,143.09,19.01,17.21,5.45,0
20230803:1811,33.67,55.99,10.01,16.9,4.69,0
20230803:1911,0,0.86,1.51,16.27,3.66,0
20230803:2011,0,0,0,15.69,2.9,0
20230803:2111,0,0,0,15,2.55,0
20230803:2211,0,0,0,14.64,2.48,0
20230803:2311,0,0,0,14.36,2.55,0
20230804:0011,0,0,0,14.5,2.62,0
20230804:0111,0,0,0,14.58,2.62,0
20230804:0211,0,0,0,14.65,2.48,0
20230804:0311,0,0,0,14.44,2.34,0
20230804:0411,0,0,0,14.54,2.14,0
20230804:0511,6.93,18.95,8.54,14.84,2.14,0
20230804:0611,42.67,67.07,17.5,15.55,2.07,0
20230804:0711,163.89,212.78,26.64,16.48,2.55,0
20230804:0811,139.29,183.35,35.56,17.29,2.69,0
20230804:0911,368.88,457.75,43.72,18.06,2.97,0
20230804:1011,351.82,438.1,50.33,18.68,3.38,0
20230804:1111,428.58,532.19,54.28,18.94,3.79,0
20230804:1211,595.05,737.56,54.56,18.12,4.28,0
20230804:1311,355.02,439.94,51.08,18.53,4.28,0
20230804:1411,458,564.47,44.78,18.69,4.34,0
20230804:1511,308.14,383.09,36.79,18.77,4.34,0
20230804:1611,96.94,133.35,27.94,18.08,4.76,0
20230804:1711,61.39,90.74,18.8,17.68,4.28,0
20230804:1811,34.28,56.85,9.79,17.15,3.59,0
20230804:1911,0,0.86,1.28,16.62,2.41,0
20230804:2011,0,0,0,15.79,2.07,0
20230804:2111,0,0,0,15.02,1.93,0
20230804:2211,0,0,0,14.2,1.38,0
20230804:2311,0,0,0,14.35,0.9,0
20230805:0011,0,0,0,14.17,0.83,0
20230805:0111,0,0,0,12.36,1.38,0
20230805:0211,0,0,0,11.66,1.52,0
20230805:0311,0,0,0,11.24,1.72,0
20230805:0411,0,0,0,11.54,1.72,0
20230805:0511,8.7,21.53,8.34,12.53,1.93,0
20230805:0611,54.72,81.43,17.3,13.75,2.62,0
20230805:0711,252.9,320.12,26.45,15.53,3.45,0
20230805:0811,320.74,393.7,35.36,16.82,5.1,0
20230805:0911,387.48,474.5,43.51,17.83,5.31,0
20230805:1011,192.46,246.17,50.09,18.5,5.17,0
20230805:1111,129.99,172.74,54.02,18.76,5.45,0
20230805:1211,78.36,111.18,54.29,18.15,5.17,0
20230805:1311,86.75,120.37,50.83,16.35,4.48,0
20230805:1411,59.96,88.21,44.54,15.58,2.76,0
20230805:1511,51.63,78.1,36.56,15.45,2.07,0
20230805:1611,176.01,225.62,27.72,15.67,2.9,0
20230805:1711,58.97,87.07,18.58,15.49,3.38,0
20230805:1811,7.45,19.81,9.57,15.59,3.59,0
20230805:1911,0,0,0,14.68,3.52,0
20230805:2011,0,0,0,14.42,3.66,0
20230805:2111,0,0,0,14.35,3.45,0
20230805:2211,0,0,0,14.37,3.38,0
20230805:2311,0,0,0,14.15,3.03,0
20230806:0011,0,0,0,14.09,2.55,0
20230806:0111,0,0,0,13.8,2.07,0
20230806:0211,0,0,0,13.87,1.79,0
20230806:0311,0,0,0,13.94,1.66,0
20230806:0411,0,0,0,13.98,1.66,0
20230806:0511,0.45,6.89,8.14,14.06,1.79,0
20230806:0611,25.52,45.02,17.11,14.3,2.28,0
20230806:0711,51.9,78.1,26.25,14.49,2.28,0
20230806:0811,24.79,44.1,35.16,14.66,2.97,0
20230806:0911,52.53,79.02,43.29,15.18,3.31,0
20230806:1011,45.76,70.75,49.85,15.34,3.79,0
20230806:1111,51.61,78.1,53.75,15.97,4.28,0
20230806:1211,67.49,97.4,54.02,16.3,4.69,0
20230806:1311,70.72,101.07,50.56,15.84,4.76,0
20230806:1411,102.46,138.74,44.3,16.2,4.97,0
20230806:1511,223.52,279.53,36.33,16.25,4.76,0
20230806:1611,93.33,127.85,27.49,15.96,5.31,0
20230806:1711,75.67,107.35,18.35,15.32,6.34,0
20230806:1811,18.21,35.32,9.34,14.9,7.03,0
20230806:1911,0,0,0,14.56,6.9,0
20230806:2011,0,0,0,14.39,7.17,0
20230806:2111,0,0,0,14.4,7.45,0
20230806:2211,0,0,0,14.38,7.38,0
20230806:2311,0,0,0,14.3,7.52,0
20230807:0011,0,0,0,14.34,7.24,0
20230807:0111,0,0,0,14.3,7.24,0
20230807:0211,0,0,0,13.88,7.1,0
20230807:0311,0,0,0,13.92,7.24,0
20230807:0411,0,0,0,13.81,7.1,0
20230807:0511,6.44,18.09,7.94,13.82,6.41,0
20230807:0611,85.37,120.63,16.91,13.95,6,0
20230807:0711,167.72,213.7,26.06,14.27,6.62,0
20230807:0811,418.69,503.25,34.96,15.1,6.55,0
20230807:0911,262.02,322.37,43.07,15.85,7.03,0
20230807:1011,297.51,364.28,49.6,16.28,7.31,0
20230807:1111,595.03,720.21,53.48,16.61,7.03,0
20230807:1211,694.78,845,53.74,16.65,6.97,0
20230807:1311,652.59,791.34,50.3,17,7.17,0
20230807:1411,580.86,701.84,44.05,17.27,7.17,0
20230807:1511,405.03,491,36.09,17.17,6.9,0
20230807:1611,335.84,418.53,27.26,17,6.28,0
20230807:1711,133.68,199.44,18.12,16.61,5.52,0
20230807:1811,31.1,52.54,9.1,16.11,4.48,0
20230807:1911,0,0,0,15.41,3.86,0
20230807:2011,0,0,0,14.57,3.66,0
20230807:2111,0,0,0,14.18,3.72,0
20230807:2211,0,0,0,13.98,3.66,0
20230807:2311,0,0,0,13.93,3.86,0
20230808:0011,0,0,0,14.13,3.72,0
20230808:0111,0,0,0,14.02,3.66,0
20230808:0211,0,0,0,14.18,3.72,0
20230808:0311,0,0,0,14.27,3.72,0
20230808:0411,0,0,0,13.93,3.79,0
20230808:0511,22.13,40.48,7.73,13.97,3.93,0
20230808:0611,101.96,164.6,16.72,14.73,4.28,0
20230808:0711,286.89,362.18,25.86,15.8,4.97,0
20230808:0811,330.36,402.97,34.75,16.41,6.14,0
20230808:0911,293.17,360.25,42.84,16.91,6.62,0
20230808:1011,423.36,514.2,49.36,17.4,7.03,0
20230808:1111,327.41,401.85,53.21,17.64,7.24,0
20230808:1211,375.02,456.85,53.46,17.32,7.52,0
20230808:1311,352.35,430.4,50.02,17.57,7.45,0
20230808:1411,177.77,227.26,43.79,17.69,7.38,0
20230808:1511,375.13,455.82,35.84,17.24,6.97,0
20230808:1611,90.72,125.1,27.02,16.78,6.34,0
20230808:1711,38.26,61.56,17.89,16.01,5.45,0
20230808:1811,10.27,24.12,8.86,15.43,4.41,0
20230808:1911,0,0,0,15.19,3.17,0
20230808:2011,0,0,0,15.01,2.21,0
20230808:2111,0,0,0,14.74,1.79,0
20230808:2211,0,0,0,14.57,1.52,0
20230808:2311,0,0,0,14.51,1.38,0
20230809:0011,0,0,0,14.16,1.52,0
20230809:0111,0,0,0,13.51,1.86,0
20230809:0211,0,0,0,12.83,2.14,0
20230809:0311,0,0,0,12.61,2.14,0
20230809:0411,0,0,0,12.31,2.28,0
20230809:0511,23.58,42.21,7.53,12.56,2.14,0
20230809:0611,102.57,155.76,16.52,13.9,1.93,0
20230809:0711,299.66,382.4,25.66,15.59,2.34,0
20230809:0811,416.64,513.7,34.54,17.1,3.03,0
20230809:0911,576.25,715.01,42.62,17.95,3.31,0
20230809:1011,357.97,444.75,49.1,18.49,3.52,0
20230809:1111,664.58,833.27,52.94,19.06,4.07,0
20230809:1211,773.53,976.1,53.17,19.36,4.62,0
20230809:1311,781.35,979.9,49.74,19.32,5.1,0
20230809:1411,651.79,803.59,43.53,18.93,5.31,0
20230809:1511,540.09,662.87,35.6,18.68,5.03,0
20230809:1611,246.33,312.12,26.78,18.22,4.69,0
20230809:1711,103.16,145.69,17.65,17.38,4.28,0
20230809:1811,28.34,49.1,8.62,16.65,3.45,0
20230809:1911,0,0,0,15.64,2.28,0
20230809:2011,0,0,0,14.62,1.93,0
20230809:2111,0,0,0,13.82,1.79,0
20230809:2211,0,0,0,12.84,1.66,0
20230809:2311,0,0,0,12.14,1.52,0
20230810:0011,0,0,0,11.5,1.72,0
20230810:0111,0,0,0,11.28,1.86,0
20230810:0211,0,0,0,11.7,1.86,0
20230810:0311,0,0,0,11.94,1.86,0
20230810:0411,0,0,0,12.33,1.79,0
20230810:0511,19.01,36.18,7.32,12.81,1.86,0
20230810:0611,89.36,128.96,16.31,14.28,1.86,0
20230810:0711,197.97,254.4,25.45,16.04,2.14,0
20230810:0811,418.28,517.84,34.33,17.12,2.41,0
20230810:0911,285.14,357.66,42.39,18.21,2.48,0
20230810:1011,413.05,517.22,48.85,19.02,2.34,0
20230810:1111,379.91,479.35,52.65,19.88,2.07,0
20230810:1211,371.69,470.94,52.88,20.48,1.93,0
20230810:1311,365.62,464.29,49.46,21.34,2.07,0
20230810:1411,353.71,448.9,43.26,22,2.41,0
20230810:1511,411.46,521.86,35.34,22.28,2.41,0
20230810:1611,312.29,407.99,26.53,22.4,1.79,0
20230810:1711,122.3,192.33,17.4,22.28,1.24,0
20230810:1811,24.96,45.65,8.37,21.81,0.9,0
20230810:1911,0,0,0,20.42,1.24,0
20230810:2011,0,0,0,18.73,2,0
20230810:2111,0,0,0,17.61,2.28,0
20230810:2211,0,0,0,17.06,2.48,0
20230810:2311,0,0,0,16.81,2.69,0
20230811:0011,0,0,0,16.65,2.9,0
20230811:0111,0,0,0,16.54,3.03,0
20230811:0211,0,0,0,16.31,3.17,0
20230811:0311,0,0,0,16.02,3.17,0
20230811:0411,0,0,0,15.68,3.03,0
20230811:0511,19.38,37.04,7.11,15.52,2.97,0
20230811:0611,96.97,159.01,16.11,16.58,2.97,0
20230811:0711,285.3,369,25.25,18.82,2.9,0
20230811:0811,460.29,577.61,34.11,20.96,3.1,0
20230811:0911,525.4,665.26,42.16,22.73,3.31,0
20230811:1011,727.9,945.66,48.59,23.96,3.45,0
20230811:1111,764.91,1004.37,52.37,24.79,3.52,0
20230811:1211,521.35,667.13,52.59,25.36,4.21,0
20230811:1311,594.72,759.33,49.17,25.39,4.9,0
20230811:1411,340.17,432.38,42.99,24.71,4.83,0
20230811:1511,248.43,319.71,35.08,24.21,4.62,0
20230811:1611,62.95,94.64,26.28,23.15,3.86,0
20230811:1711,69.34,103.43,17.15,22.28,2.9,0
20230811:1811,12.18,27.56,8.12,21.6,2.48,0
20230811:1911,0,0,0,20.61,2.28,0
20230811:2011,0,0,0,20.04,2.28,0
20230811:2111,0,0,0,19.56,2.34,0
20230811:2211,0,0,0,19.36,2.48,0
20230811:2311,0,0,0,19.18,2.83,0
20230812:0011,0,0,0,19.02,2.83,0
20230812:0111,0,0,0,18.87,2.69,0
20230812:0211,0,0,0,18.57,2.62,0
20230812:0311,0,0,0,18.22,2.62,0
20230812:0411,0,0,0,17.98,2.48,0
20230812:0511,0.1,6.03,6.9,17.95,2.28,0
20230812:0611,8.73,22.05,15.91,18.64,2.21,0
20230812:0711,34.79,57.89,25.04,18.65,2.14,0
20230812:0811,35.5,58.8,33.9,18.69,2.41,0
20230812:0911,84.08,118.53,41.92,18.59,2.9,0
20230812:1011,330.4,411.63,48.33,19.34,4.21,0
20230812:1111,794.74,1009.51,52.08,20.67,4.76,0
20230812:1211,790.73,1002.67,52.29,21.53,5.38,0
20230812:1311,732.93,919.11,48.88,21.72,6,0
20230812:1411,617.37,763.4,42.71,21.41,6.48,0
20230812:1511,443.24,547.14,34.82,21.09,6.21,0
20230812:1611,312.25,398.39,26.02,20.81,5.45,0
20230812:1711,119.77,186.84,16.9,20.46,4.62,0
20230812:1811,22.09,41.34,7.86,19.83,3.93,0
20230812:1911,0,0,0,18.99,4.14,0
20230812:2011,0,0,0,18.11,4,0
20230812:2111,0,0,0,17.77,4,0
20230812:2211,0,0,0,17.38,4.14,0
20230812:2311,0,0,0,17.04,4.21,0
20230813:0011,0,0,0,16.71,4.21,0
20230813:0111,0,0,0,16.56,4.28,0
20230813:0211,0,0,0,16.35,4.14,0
20230813:0311,0,0,0,16.17,4.07,0
20230813:0411,0,0,0,15.96,4,0
20230813:0511,3.82,13.78,6.69,15.96,4,0
20230813:0611,95.38,155.33,15.7,16.5,3.72,0
20230813:0711,286.99,365.43,24.83,17.64,5.66,0
20230813:0811,326.72,402.96,33.68,18.75,6,0
20230813:0911,305.97,380.14,41.68,19.39,5.59,0
20230813:1011,379.88,470.17,48.06,19.97,5.59,0
20230813:1111,305.35,382.91,51.79,20.75,5.45,0
20230813:1211,564.38,701.81,51.98,21.04,5.66,0
20230813:1311,156.93,206.74,48.58,21.13,5.17,0
20230813:1411,31.57,54.21,42.43,21.18,4.21,0
20230813:1511,468.63,585.46,34.55,21.31,3.93,0
20230813:1611,223.31,288.9,25.76,20.96,3.72,0
20230813:1711,92.66,135.05,16.63,20.39,2.83,0
20230813:1811,21.44,40.48,7.59,19.78,2.34,0
20230813:1911,0,0,0,18.86,2,0
20230813:2011,0,0,0,18.05,2,0
20230813:2111,0,0,0,16.99,2.34,0
20230813:2211,0,0,0,16.29,2.48,0
20230813:2311,0,0,0,15.78,2.62,0
20230814:0011,0,0,0,15.47,2.62,0
20230814:0111,0,0,0,15.15,2.55,0
20230814:0211,0,0,0,14.93,2.41,0
20230814:0311,0,0,0,14.65,2.41,0
20230814:0411,0,0,0,14.54,2.41,0
20230814:0511,0,5.17,6.47,14.58,2.34,0
20230814:0611,37.53,60.64,15.49,15.52,2.14,0
20230814:0711,163.02,213.07,24.62,17.54,2.62,0
20230814:0811,476.56,594.75,33.46,19.39,2.9,0
20230814:0911,605.82,765.39,41.44,21.09,3.17,0
20230814:1011,517.79,654.78,47.79,22.34,3.52,0
20230814:1111,640.46,818.92,51.49,23.16,3.93,0
20230814:1211,660.12,844.04,51.67,23.66,4.41,0
20230814:1311,696.59,894.78,48.28,23.96,4.21,0
20230814:1411,588.44,751.29,42.14,24.4,3.79,0
20230814:1511,437.08,556.5,34.27,24.52,3.38,0
20230814:1611,246.83,324.39,25.49,24.45,3.1,0
20230814:1711,115.44,185.69,16.37,24.06,2.62,0
20230814:1811,19.21,37.9,7.32,23.1,2.28,0
20230814:1911,0,0,0,22.25,1.66,0
20230814:2011,0,0,0,20.52,1.79,0
20230814:2111,0,0,0,19.28,2.41,0
20230814:2211,0,0,0,18.71,2.28,0
20230814:2311,0,0,0,18.79,2,0
20230815:0011,0,0,0,18.87,2.14,0
20230815:0111,0,0,0,18.31,2.62,0
20230815:0211,0,0,0,18,2.76,0
20230815:0311,0,0,0,17.79,2.62,0
20230815:0411,0,0,0,17.49,2.62,0
20230815:0511,15.48,31.87,6.25,17.33,2.97,0
20230815:0611,93.14,154.8,15.28,17.87,3.1,0
20230815:0711,213.57,275.2,24.41,18.46,4.28,0
20230815:0811,294.04,366.13,33.24,19.24,5.03,0
20230815:0911,218.07,277.47,41.2,19.87,5.24,0
20230815:1011,181.35,235.27,47.52,20.61,5.1,0
20230815:1111,141.43,188.36,51.19,21.2,4.97,0
20230815:1211,188.17,244.51,51.36,21.4,4.62,0
20230815:1311,484.1,606.25,47.97,21.48,4.14,0
20230815:1411,634.22,799.12,41.85,21.46,3.93,0
20230815:1511,472.76,590.39,33.99,21.18,3.86,0
20230815:1611,303.67,390.78,25.22,20.71,3.45,0
20230815:1711,114.53,180.79,16.1,20.15,2.9,0
20230815:1811,20.21,38.76,7.05,19.44,1.93,0
20230815:1911,0,0,0,18.35,1.52,0
20230815:2011,0,0,0,17.04,1.03,0
20230815:2111,0,0,0,16.95,0.69,0
20230815:2211,0,0,0,16.64,0.62,0
20230815:2311,0,0,0,16.3,0.55,0
20230816:0011,0,0,0,15.97,0.62,0
20230816:0111,0,0,0,14.15,0.69,0
20230816:0211,0,0,0,13.16,0.55,0
20230816:0311,0,0,0,13.09,0.55,0
20230816:0411,0,0,0,12.76,0.62,0
20230816:0511,17.1,33.59,6.04,12.77,0.83,0
20230816:0611,78.47,114.73,15.07,13.82,1.03,0
20230816:0711,276.03,354.37,24.2,15.83,1.45,0
20230816:0811,444.6,553.97,33.01,17.78,2.07,0
20230816:0911,622.27,783.57,40.95,19.5,2.9,0
20230816:1011,723.46,925.53,47.25,20.61,3.24,0
20230816:1111,770.43,997.75,50.89,21.51,3.31,0
20230816:1211,734.42,948.58,51.04,22.12,3.45,0
20230816:1311,666.12,852.62,47.66,22.49,3.59,0
20230816:1411,546.9,692.12,41.55,22.71,3.59,0
20230816:1511,374.94,472.63,33.71,22.58,3.72,0
20230816:1611,156.6,208.54,24.95,22.31,3.93,0
20230816:1711,70.37,104.99,15.83,21.63,3.72,0
20230816:1811,11.11,25.84,6.77,20.54,3.93,0
20230816:1911,0,0,0,19.57,4.14,0
20230816:2011,0,0,0,18.74,4.41,0
20230816:2111,0,0,0,18.05,4.55,0
20230816:2211,0,0,0,17.57,4.34,0
20230816:2311,0,0,0,17.05,4.21,0
20230817:0011,0,0,0,16.65,4.14,0
20230817:0111,0,0,0,16.07,4,0
20230817:0211,0,0,0,15.92,4.07,0
20230817:0311,0,0,0,15.6,4,0
20230817:0411,0,0,0,15.48,4.07,0
20230817:0511,7.45,19.81,5.82,15.6,4.07,0
20230817:0611,82.63,123.21,14.85,16.09,3.86,0
20230817:0711,153.38,200.08,23.98,16.81,4.34,0
20230817:0811,299.89,369.54,32.78,17.06,4.83,0
20230817:0911,607.32,743.54,40.7,17.3,4.62,0
20230817:1011,635.33,778.93,46.97,18.34,5.93,0
20230817:1111,331.03,409.67,50.59,18.89,5.72,0
20230817:1211,313.81,390.72,50.72,19.45,5.31,0
20230817:1311,172.27,223.78,47.35,19.78,4.83,0
20230817:1411,67.69,99.23,41.25,20.2,4.55,0
20230817:1511,127.67,171.66,33.42,20.72,4.28,0
20230817:1611,95.91,133.89,24.67,20.71,3.31,0
20230817:1711,42.83,68.76,15.55,20.48,3.1,0
20230817:1811,8.32,21.53,6.49,20.18,3.03,0
20230817:1911,0,0,0,18.97,3.59,0
20230817:2011,0,0,0,18.73,3.59,0
20230817:2111,0,0,0,18.34,3.45,0
20230817:2211,0,0,0,17.95,3.38,0
20230817:2311,0,0,0,17.67,3.38,0
20230818:0011,0,0,0,17.4,3.24,0
20230818:0111,0,0,0,17.25,3.03,0
20230818:0211,0,0,0,17.12,2.9,0
20230818:0311,0,0,0,16.99,2.9,0
20230818:0411,0,0,0,16.93,2.83,0
20230818:0511,0.79,7.75,5.6,16.88,2.83,0
20230818:0611,64.39,96.47,14.64,17.24,2.76,0
20230818:0711,189.28,245.16,23.77,17.36,2.76,0
20230818:0811,161.34,209.98,32.55,18.22,2.83,0
20230818:0911,360.91,449.77,40.45,19.37,3.1,0
20230818:1011,408.99,512.78,46.69,21.2,3.59,0
20230818:1111,648.04,830.81,50.28,22.4,3.31,0
